-,-,-,-,-,-,-,-,-,-,-,-
0.35,0.93,-0.04,13.06,-0.85,-15.62,1.00,20.38,1,275,123,7
0.36,0.92,-0.03,13.31,-0.79,-16.85,0.99,21.48,1,302,124,7
0.38,0.87,-0.03,14.22,-1.34,-17.58,0.95,22.65,1,334,122,8
0.37,0.82,0.01,11.23,-0.98,-15.01,0.90,18.78,1,355,117,8
0.38,0.86,0.00,5.74,0.31,-8.79,0.94,10.50,1,367,117,8
0.38,0.85,0.01,3.23,0.61,-4.70,0.93,5.74,1,371,115,7
0.38,0.82,0.01,0.24,1.95,-1.65,0.90,2.57,1,366,115,8
0.39,0.88,-0.01,-0.67,2.08,4.52,0.97,5.02,1,354,116,8
0.39,0.95,-0.01,2.99,0.92,5.13,1.03,6.01,1,349,113,7
0.38,0.92,0.01,4.15,0.73,2.26,1.00,4.78,1,346,112,8
0.38,0.89,-0.00,0.73,1.77,2.32,0.97,3.01,1,344,113,8
0.38,0.92,-0.01,-0.18,1.46,0.49,1.00,1.55,1,341,111,8
0.38,0.96,-0.00,-0.12,1.28,-1.59,1.03,2.04,1,335,117,5
0.38,0.91,0.00,0.18,0.92,-4.46,0.99,4.55,1,334,116,7
0.38,0.86,0.00,-0.67,1.34,-2.81,0.94,3.18,1,335,115,6
0.39,0.87,-0.01,-0.49,1.71,-0.06,0.95,1.78,1,332,113,6
0.38,0.85,-0.01,0.92,1.16,4.03,0.93,4.29,1,327,117,7
0.37,0.84,0.00,0.61,1.10,9.83,0.92,9.91,1,316,115,7
0.36,0.81,0.01,-2.99,1.53,13.06,0.89,13.49,1,296,119,8
0.35,0.87,-0.03,-13.55,4.88,18.13,0.93,23.15,1,270,119,6
0.36,0.98,-0.05,-12.27,5.37,18.07,1.04,22.49,2,244,121,8
0.35,0.99,-0.04,-7.20,2.87,14.10,1.05,16.09,2,226,125,6
0.34,0.99,-0.04,-5.86,2.99,7.75,1.05,10.17,2,217,127,7
0.34,0.99,-0.03,-5.62,2.81,2.32,1.04,6.69,2,214,130,8
0.34,0.98,-0.04,-3.78,2.26,-2.01,1.04,4.85,2,210,132,8
0.35,0.97,-0.05,-1.46,1.46,-4.70,1.03,5.14,2,211,131,7
0.34,0.90,-0.04,0.98,0.85,-5.25,0.96,5.41,2,213,129,10
0.34,0.89,-0.04,0.79,1.22,-2.44,0.95,2.84,2,217,131,6
0.34,0.91,-0.04,2.14,1.28,1.77,0.97,3.06,2,215,132,8
0.34,0.92,-0.04,3.85,0.98,3.42,0.98,5.24,2,215,131,8
0.34,0.90,-0.04,5.98,0.49,5.00,0.96,7.81,2,215,130,6
0.34,0.91,-0.03,5.37,0.37,5.25,0.97,7.52,2,212,133,8
0.33,0.94,-0.03,3.42,1.10,5.00,0.99,6.16,2,212,134,9
0.33,0.94,-0.03,1.65,1.40,3.05,1.00,3.74,2,211,132,9
0.33,0.95,-0.04,0.37,1.46,1.10,1.00,1.87,2,210,131,4
0.33,0.93,-0.03,0.31,1.34,-0.12,0.99,1.38,2,207,134,7
0.33,0.92,-0.04,-0.18,1.40,-0.73,0.98,1.59,2,208,130,8
0.33,0.91,-0.04,0.92,1.10,1.40,0.97,2.00,2,206,133,8
0.33,0.91,-0.04,0.98,1.59,3.72,0.97,4.16,2,208,131,8
0.32,0.92,-0.03,1.53,1.53,5.31,0.98,5.73,2,207,133,7
0.32,0.88,-0.02,0.31,2.20,7.26,0.94,7.59,2,204,132,8
0.32,0.93,-0.04,-1.28,2.69,10.31,0.98,10.74,2,200,135,8
0.30,0.90,-0.01,-2.08,2.14,8.06,0.95,8.59,3,195,130,7
0.30,0.98,-0.04,-16.17,5.31,8.00,1.03,18.81,3,192,129,8
0.30,1.01,-0.05,-23.99,7.32,1.65,1.05,25.13,3,190,124,9
0.31,0.96,-0.08,-25.76,8.12,-3.66,1.01,27.25,3,190,124,5
0.32,0.93,-0.11,-19.41,5.80,-3.54,0.99,20.56,3,189,119,4
0.32,0.98,-0.14,-10.62,3.60,-2.20,1.04,11.43,3,189,116,7
0.31,0.92,-0.12,3.05,-0.06,-2.14,0.98,3.73,3,188,119,9
0.31,0.88,-0.08,5.37,0.12,2.56,0.93,5.95,3,188,115,6
0.31,0.93,-0.10,5.62,0.98,6.47,0.99,8.62,3,188,117,7
0.30,0.95,-0.09,6.29,0.79,5.55,1.01,8.43,3,189,117,7
0.30,0.96,-0.10,6.41,0.67,2.01,1.02,6.75,3,188,117,5
0.30,0.96,-0.09,4.76,0.31,-2.56,1.01,5.42,3,188,119,7
0.31,0.94,-0.09,2.26,0.92,-4.88,0.99,5.46,3,190,122,8
0.31,0.95,-0.09,2.75,0.43,-6.53,1.00,7.10,3,190,123,8
0.31,0.87,-0.08,1.34,0.06,-4.46,0.93,4.65,3,191,123,7
0.31,0.88,-0.09,-1.77,2.08,3.17,0.93,4.18,3,189,119,7
0.31,0.95,-0.11,2.81,1.65,8.06,1.00,8.69,3,189,118,6
0.30,0.91,-0.08,8.18,0.43,9.89,0.96,12.84,3,187,114,5
0.30,0.99,-0.08,8.18,0.61,11.35,1.03,14.01,3,187,112,7
0.29,0.95,-0.07,7.93,0.12,4.88,1.00,9.32,3,186,112,6
0.29,0.95,-0.06,1.22,1.46,-1.04,0.99,2.17,3,187,108,5
0.29,0.92,-0.08,-3.85,2.56,-3.05,0.97,5.54,3,186,114,8
0.30,0.93,-0.09,-6.65,3.17,-2.01,0.99,7.64,3,186,105,8
0.30,0.93,-0.10,-5.13,2.26,-0.12,0.98,5.60,3,188,97,7
0.30,0.96,-0.10,-2.56,1.71,1.04,1.01,3.25,3,185,95,8
0.31,1.01,-0.12,1.83,0.67,-3.72,1.06,4.20,3,184,99,4
0.30,0.97,-0.09,9.89,-1.65,-10.68,1.02,14.65,3,188,104,6
0.33,1.01,-0.15,17.76,-2.69,-15.75,1.07,23.89,3,189,109,5
0.32,0.95,-0.11,35.83,-8.12,-16.72,1.01,40.36,2,199,120,7
0.32,0.67,-0.01,41.32,-9.34,-9.46,0.75,43.41,2,206,120,8
0.30,0.78,0.04,19.41,-2.32,2.81,0.83,19.75,2,210,124,8
0.32,0.94,-0.04,6.90,1.04,9.64,0.99,11.90,2,211,123,4
0.31,0.95,-0.01,3.11,1.22,6.65,1.00,7.45,2,209,125,6
0.31,0.93,-0.02,-1.28,2.14,3.91,0.98,4.63,2,203,124,8
0.31,0.93,-0.03,-3.11,2.26,2.99,0.98,4.87,2,201,124,8
0.30,0.94,-0.02,-3.23,1.77,3.42,0.98,5.03,2,198,123,8
0.30,0.90,-0.02,-4.64,2.26,2.38,0.95,5.68,3,194,123,6
0.31,0.90,-0.04,-8.79,3.48,1.83,0.95,9.63,3,191,121,6
0.30,0.93,-0.03,-17.03,4.94,5.80,0.98,18.66,3,188,118,7
0.30,1.01,-0.08,-16.91,6.23,6.47,1.06,19.14,3,188,110,7
0.30,0.99,-0.07,-9.89,3.17,-0.24,1.03,10.39,3,185,109,7
0.31,1.06,-0.10,-2.50,2.50,-6.71,1.11,7.59,3,185,107,7
0.31,1.00,-0.10,14.77,-2.56,-14.95,1.05,21.17,3,190,112,6
0.32,0.94,-0.09,27.77,-4.70,-14.40,1.00,31.64,3,196,116,5
0.30,0.86,0.01,25.63,-4.94,-6.47,0.91,26.90,2,203,122,6
0.31,0.84,-0.01,11.41,-0.24,1.77,0.90,11.55,2,207,120,7
0.32,0.91,-0.03,4.64,1.77,5.92,0.96,7.73,2,209,123,8
0.31,0.93,-0.02,2.26,1.53,5.31,0.98,5.97,2,207,119,7
0.31,0.92,-0.03,0.18,1.83,3.48,0.98,3.94,2,206,124,6
0.31,0.95,-0.02,-0.98,1.65,0.98,0.99,2.15,2,202,124,7
0.31,0.93,-0.03,-1.59,1.77,0.37,0.98,2.41,2,201,119,7
0.30,0.93,-0.03,-2.44,1.89,-0.18,0.98,3.09,2,198,122,8
0.31,0.95,-0.04,-1.89,1.77,0.31,1.00,2.61,2,197,124,8
0.31,0.94,-0.04,-0.55,1.34,0.00,0.99,1.45,3,196,125,7
0.30,0.97,-0.03,-1.16,1.22,-1.16,1.01,2.04,3,193,126,7
0.31,0.96,-0.03,-3.30,1.95,-3.97,1.01,5.52,3,194,126,8
0.31,1.00,-0.05,-4.33,2.20,-7.69,1.05,9.10,2,198,120,7
0.33,0.97,-0.06,2.99,0.24,-13.92,1.03,14.24,2,203,126,7
0.32,0.94,-0.02,3.42,15.08,-15.69,1.00,22.02,2,208,125,7
0.32,1.00,-0.05,10.80,-1.77,-19.41,1.05,22.28,2,230,127,8
0.34,0.88,-0.01,16.30,-3.85,-21.36,0.94,27.14,1,259,125,8
0.35,0.90,-0.01,12.94,-1.77,-15.75,0.97,20.46,1,284,125,7
0.37,0.89,-0.03,13.67,-1.77,-13.79,0.96,19.50,1,311,119,7
0.36,0.83,0.01,14.59,-2.44,-10.13,0.90,17.93,1,326,118,6
0.36,0.81,0.02,9.52,-1.28,-4.27,0.88,10.51,1,329,115,7
0.37,0.91,0.02,2.26,1.16,-1.28,0.98,2.84,1,326,118,6
0.38,0.95,-0.01,1.77,1.34,-2.26,1.02,3.17,1,324,120,7
0.37,0.86,0.01,2.20,0.79,-2.38,0.94,3.34,1,321,117,8
0.38,0.89,-0.01,-1.04,1.71,0.73,0.96,2.13,1,315,116,7
0.38,0.96,-0.02,0.85,1.10,0.37,1.04,1.44,1,310,119,6
0.38,0.96,-0.01,4.03,0.06,-3.91,1.03,5.61,1,312,119,7
0.37,0.91,0.00,4.88,-0.24,-7.87,0.98,9.27,1,328,121,8
0.40,0.98,-0.03,5.31,0.37,-11.11,1.06,12.32,1,349,122,7
0.40,0.96,-0.01,10.86,-2.32,-16.11,1.04,19.57,1,372,115,7
0.36,0.85,0.09,6.16,-1.28,-20.20,0.93,21.16,1,396,120,5
0.40,0.80,0.02,-4.15,3.97,-18.37,0.90,19.25,1,412,121,8
0.43,0.86,-0.02,-4.88,3.72,-11.60,0.96,13.12,1,416,123,6
0.43,0.86,-0.00,-0.79,1.28,-6.84,0.96,7.00,1,413,119,8
0.42,0.79,0.01,0.18,1.16,-2.20,0.89,2.49,1,405,122,6
0.42,0.86,-0.00,-1.10,1.59,3.85,0.96,4.30,1,393,118,6
0.43,0.96,-0.03,0.85,1.16,4.76,1.06,4.97,1,377,123,6
0.42,0.90,0.00,5.43,-0.24,1.65,0.99,5.68,1,370,117,7
0.41,0.89,0.02,3.72,0.06,1.71,0.98,4.10,1,367,123,7
0.41,0.88,0.02,0.73,0.79,0.79,0.97,1.34,1,359,120,6
0.42,0.89,0.01,-1.46,1.65,1.65,0.99,2.75,1,348,122,6
0.42,0.91,0.00,-0.55,1.40,1.71,1.00,2.28,1,341,122,6
0.41,0.89,0.01,-0.73,2.08,0.49,0.98,2.25,1,338,122,8
0.41,0.87,0.00,-0.79,1.71,2.56,0.97,3.18,1,335,121,7
0.41,0.93,-0.00,-0.43,1.16,3.60,1.02,3.81,1,332,116,8
0.40,0.89,0.01,0.73,0.85,2.01,0.97,2.31,1,324,117,7
0.41,0.94,0.00,-2.56,1.53,2.26,1.02,3.74,1,318,124,5
0.41,0.94,-0.01,-2.87,1.40,0.31,1.03,3.21,1,312,124,8
0.40,0.92,0.01,-2.87,1.65,-1.46,1.01,3.62,1,306,124,8
0.38,0.81,0.04,-5.19,2.56,-2.32,0.90,6.23,1,302,129,6
0.41,0.77,-0.03,-12.63,7.87,1.53,0.87,14.96,1,293,129,9
0.42,0.97,-0.07,-9.52,5.19,9.95,1.06,14.72,1,281,134,9
0.41,0.87,-0.04,-1.95,3.17,2.01,0.96,4.24,1,271,135,7
0.40,0.92,-0.03,-2.01,2.20,2.87,1.01,4.14,1,261,134,8
0.39,0.85,-0.01,-3.54,3.30,4.27,0.94,6.45,1,252,140,8
0.41,0.95,-0.07,-5.25,4.46,7.87,1.04,10.46,2,245,143,10
0.39,0.90,-0.03,-2.99,2.87,5.74,0.98,7.08,1,241,141,8
0.40,0.97,-0.07,-4.39,3.05,5.31,1.05,7.54,2,235,146,9
0.39,0.98,-0.06,1.40,-0.06,0.79,1.06,1.61,2,232,148,9
0.38,0.91,-0.03,3.11,-1.16,-2.87,0.99,4.39,2,229,147,8
0.39,0.95,-0.04,2.26,-0.73,-6.16,1.03,6.61,2,229,148,7
0.40,0.92,-0.04,5.62,-1.95,-9.40,1.01,11.12,2,234,143,9
0.40,0.66,-0.05,10.13,-3.30,-4.33,0.77,11.50,1,236,141,9
0.39,1.00,-0.01,7.45,-2.81,13.49,1.07,15.66,2,234,142,8
0.40,1.04,-0.04,11.84,-3.36,4.76,1.11,13.20,2,236,141,8
0.38,0.83,-0.00,17.15,-3.85,0.43,0.91,17.58,1,253,134,9
0.38,0.74,0.00,14.65,-2.44,12.57,0.83,19.46,1,265,129,6
0.36,0.87,0.03,8.00,-0.67,14.59,0.94,16.65,1,256,123,8
0.35,0.96,0.04,-1.71,2.20,14.16,1.02,14.43,2,245,123,6
0.37,0.95,-0.02,0.43,1.10,6.04,1.02,6.16,2,239,123,7
0.36,0.97,0.00,-4.03,2.20,3.42,1.04,5.72,2,232,121,7
0.37,0.99,-0.02,-2.38,1.10,-5.49,1.06,6.09,2,230,121,8
0.36,0.95,0.01,-4.03,1.10,-10.62,1.02,11.41,2,232,124,7
0.37,0.91,-0.02,-3.85,1.65,-13.00,0.98,13.66,2,237,123,9
0.38,0.84,-0.03,-0.55,0.85,-9.58,0.92,9.64,2,242,122,7
0.38,0.80,-0.01,3.05,0.00,-1.40,0.89,3.36,2,242,124,7
0.37,0.85,-0.00,3.78,0.37,7.08,0.93,8.04,2,237,122,7
0.37,0.87,0.00,3.54,1.16,11.84,0.95,12.41,2,229,125,7
0.35,0.83,0.01,-1.04,2.44,17.40,0.90,17.60,2,225,122,7
0.37,1.01,-0.05,-1.34,3.36,16.30,1.07,16.69,2,218,124,8
0.35,0.98,-0.02,3.42,0.73,6.84,1.04,7.68,2,214,124,7
0.35,1.00,-0.02,3.72,0.31,-1.59,1.06,4.06,2,214,127,7
0.36,1.02,-0.02,2.44,-1.16,-14.28,1.08,14.54,2,218,123,8
0.35,0.90,0.02,-1.53,0.12,-20.94,0.96,20.99,2,228,128,8
0.37,0.88,-0.02,-3.97,2.32,-21.36,0.95,21.85,2,240,127,7
0.38,0.78,-0.03,-1.46,1.59,-14.47,0.87,14.63,1,247,121,5
0.39,0.80,-0.03,0.79,1.28,-2.81,0.89,3.19,2,247,121,8
0.38,0.85,-0.02,3.97,0.12,6.16,0.93,7.33,2,242,124,8
0.37,0.91,-0.01,1.34,0.98,7.45,0.99,7.63,2,232,119,8
0.37,0.95,-0.01,0.92,1.22,5.07,1.02,5.29,2,226,123,7
0.37,0.94,-0.01,0.18,1.59,0.61,1.01,1.71,2,222,124,7
0.37,0.89,-0.02,-1.83,2.14,-0.98,0.97,2.98,2,218,120,9
0.37,0.96,-0.03,-2.87,2.14,-0.98,1.03,3.71,2,218,124,7
0.37,0.91,-0.01,-0.85,1.40,-2.75,0.99,3.20,2,216,124,7
0.37,0.89,-0.02,-0.92,1.95,-1.77,0.96,2.79,2,217,121,8
0.37,0.88,-0.02,-0.43,1.83,0.98,0.96,2.12,2,217,122,7
0.37,0.87,-0.02,-0.43,1.95,5.80,0.94,6.13,2,213,124,7
0.36,0.87,-0.03,-0.92,2.14,10.07,0.94,10.34,2,211,124,7
0.36,0.90,-0.03,-1.34,2.20,12.76,0.97,13.01,2,208,120,7
0.35,0.93,-0.03,-2.14,2.69,14.16,0.99,14.57,2,206,124,9
0.35,0.99,-0.04,-1.77,2.44,12.39,1.05,12.75,3,201,123,6
0.34,0.94,-0.02,-0.79,1.83,7.93,1.00,8.18,2,199,122,6
0.34,0.95,-0.03,-3.54,2.69,4.76,1.01,6.51,3,198,121,8
0.35,0.98,-0.06,-5.43,3.17,0.06,1.04,6.29,3,197,121,7
0.33,0.93,-0.03,-4.21,2.20,-4.58,0.99,6.60,3,196,122,6
0.34,0.93,-0.04,-6.77,3.11,-5.62,0.99,9.33,3,195,117,7
0.35,0.89,-0.05,-6.16,3.11,-4.64,0.96,8.32,3,196,122,7
0.35,0.92,-0.06,-4.58,2.75,-1.89,0.98,5.66,3,195,120,7
0.35,0.93,-0.06,-3.42,2.62,-1.77,1.00,4.66,3,196,121,6
0.35,0.96,-0.07,-1.53,2.32,-2.75,1.02,3.91,3,196,121,7
0.35,0.94,-0.05,0.79,1.40,-6.84,1.00,7.02,3,196,124,7
0.36,0.94,-0.06,0.31,1.53,-8.24,1.01,8.39,3,199,126,8
0.36,0.94,-0.08,3.36,0.49,-10.19,1.01,10.74,2,203,121,6
0.37,0.93,-0.08,8.06,-0.55,-10.74,1.00,13.44,2,208,123,7
0.37,0.88,-0.06,11.90,-1.65,-7.57,0.95,14.20,2,214,127,7
0.38,0.92,-0.04,15.38,-2.32,-8.48,1.00,17.72,2,225,124,7
0.37,0.92,-0.02,15.50,-1.77,-9.03,0.99,18.03,2,242,127,7
0.37,0.91,-0.02,11.96,-0.43,-9.34,0.98,15.18,1,262,131,8
0.39,0.87,-0.02,7.87,0.49,-9.16,0.95,12.09,1,275,128,7
0.40,0.88,-0.03,6.53,0.85,-5.80,0.97,8.78,1,286,125,8
0.39,0.92,-0.02,7.57,-0.18,-4.64,1.00,8.88,1,290,123,8
0.39,0.92,0.00,5.37,0.00,-7.57,1.00,9.28,1,295,125,9
0.40,0.88,-0.02,2.44,1.34,-9.70,0.97,10.10,1,301,126,6
0.41,0.87,-0.02,1.59,0.55,-6.90,0.96,7.10,1,303,124,8
0.41,0.90,-0.01,1.65,0.06,-7.02,0.99,7.21,1,302,127,8
0.41,0.87,-0.01,1.40,0.18,-7.14,0.96,7.28,1,304,122,8
0.42,0.88,-0.01,-0.06,0.67,-5.86,0.97,5.90,1,300,128,8
0.42,0.88,-0.01,-0.24,0.73,-4.21,0.98,4.28,1,299,122,8
0.43,0.88,-0.02,1.71,0.24,-3.17,0.97,3.61,1,297,130,8
0.42,0.88,-0.01,2.20,0.12,-2.01,0.97,2.98,1,294,128,7
0.42,0.87,-0.01,2.20,0.49,0.06,0.96,2.25,1,291,125,8
0.42,0.89,-0.01,2.26,0.55,1.77,0.98,2.92,1,287,129,7
0.42,0.92,-0.01,0.73,0.98,0.43,1.01,1.29,1,282,129,6
0.42,0.92,-0.01,0.31,1.53,-1.83,1.01,2.40,1,279,131,7
0.42,0.87,-0.02,0.43,1.53,-2.14,0.97,2.66,1,280,130,7
0.42,0.89,-0.02,0.92,1.04,-2.14,0.98,2.55,1,279,131,8
0.42,0.87,-0.01,1.53,1.04,-2.01,0.96,2.73,1,279,129,8
0.42,0.90,-0.01,0.67,1.28,-0.61,0.99,1.57,1,279,126,7
0.43,0.92,-0.01,1.71,0.92,-1.40,1.01,2.39,1,280,131,7
0.42,0.87,-0.00,2.69,0.85,-1.83,0.96,3.36,1,281,129,9
0.43,0.91,-0.01,1.10,1.16,-1.83,1.01,2.43,1,284,131,7
0.43,0.89,-0.01,1.04,1.22,-4.33,0.99,4.62,1,288,130,6
0.43,0.86,-0.02,0.79,1.10,-3.05,0.96,3.34,1,291,131,7
0.43,0.86,-0.01,2.32,0.37,-0.67,0.96,2.44,1,291,130,7
0.44,0.91,-0.01,2.44,0.06,-1.10,1.01,2.68,1,287,126,8
0.42,0.88,0.00,1.59,0.55,-2.20,0.97,2.77,1,289,130,7
0.43,0.92,-0.02,-0.31,1.53,-2.38,1.02,2.84,1,286,125,7
0.43,0.91,-0.01,0.67,0.79,-3.36,1.00,3.51,1,288,125,7
0.43,0.87,0.00,0.73,1.34,-4.03,0.97,4.31,1,290,129,7
0.43,0.87,-0.01,-0.12,1.65,-3.11,0.97,3.52,1,294,130,7
0.44,0.86,-0.01,0.18,2.01,-2.75,0.96,3.41,1,295,131,6
0.44,0.86,-0.02,0.73,1.83,-0.73,0.96,2.10,1,297,131,8
0.44,0.88,-0.01,2.14,1.40,1.28,0.98,2.86,1,293,131,6
0.43,0.86,-0.01,2.26,1.59,1.40,0.97,3.10,1,293,131,8
0.44,0.89,-0.01,1.22,1.77,1.46,0.99,2.60,1,290,130,8
0.44,0.88,-0.02,0.92,1.71,0.37,0.99,1.97,1,291,131,8
0.43,0.89,-0.01,1.34,1.22,0.18,0.99,1.82,1,288,132,7
0.44,0.90,-0.02,1.10,1.34,-1.40,1.00,2.23,1,287,132,7
0.43,0.87,-0.01,1.22,1.04,-2.08,0.97,2.62,1,287,132,7
0.44,0.85,-0.02,0.67,1.59,-0.55,0.96,1.81,1,283,126,7
0.43,0.87,-0.01,1.16,1.28,3.30,0.97,3.72,1,281,132,8
0.43,0.87,-0.01,1.65,0.98,4.76,0.97,5.13,1,276,133,7
0.43,0.86,-0.02,1.89,1.28,6.29,0.96,6.69,1,270,133,8
0.43,0.87,-0.02,2.26,0.61,7.81,0.97,8.16,1,264,132,7
0.42,0.85,-0.01,2.14,0.55,8.73,0.95,9.00,1,257,132,8
0.42,0.91,-0.01,0.18,1.22,9.70,1.00,9.78,1,251,136,8
0.41,0.96,-0.01,-0.61,1.16,8.18,1.05,8.28,1,246,135,10
0.41,0.95,-0.01,0.12,1.10,3.78,1.04,3.94,2,242,134,7
0.42,0.95,-0.03,0.18,0.92,-0.37,1.04,1.00,2,240,132,9
0.41,0.89,-0.01,0.18,0.67,-3.30,0.98,3.37,1,243,134,7
0.41,0.84,-0.02,1.53,0.79,-0.24,0.93,1.74,2,244,133,5
0.41,0.83,-0.02,4.27,0.31,6.65,0.92,7.91,2,246,132,8
0.39,0.84,-0.00,5.37,-0.06,13.43,0.93,14.46,1,251,135,7
0.39,0.92,-0.01,5.25,0.06,18.01,1.00,18.75,2,245,130,9
0.38,0.93,0.00,5.92,-0.49,17.03,1.00,18.04,2,240,133,9
0.37,0.85,0.01,2.38,0.31,16.54,0.92,16.71,2,232,135,8
0.35,0.90,0.01,-6.59,2.87,17.64,0.97,19.05,2,217,135,8
0.37,0.93,-0.03,-11.05,4.09,16.05,1.00,19.91,2,209,127,7
0.35,0.98,-0.02,-15.44,5.07,16.30,1.04,23.01,3,200,124,7
0.36,0.86,-0.06,-21.36,6.29,21.61,0.94,31.03,3,194,119,7
0.33,1.15,-0.06,-20.63,3.05,29.36,1.20,36.01,3,189,102,6
0.31,1.05,-0.05,-5.98,0.49,11.11,1.10,12.63,3,188,97,6
0.31,0.99,-0.05,-1.77,0.43,-1.16,1.04,2.16,3,187,96,7
0.32,0.98,-0.07,3.60,0.79,-4.27,1.03,5.64,3,188,94,7
0.34,1.01,-0.12,17.88,-1.71,-5.19,1.07,18.70,3,190,100,8
0.33,0.99,-0.04,36.74,-7.02,-6.41,1.04,37.95,2,196,110,6
0.34,0.85,0.00,51.33,-9.83,-2.38,0.92,52.32,2,211,124,6
0.28,0.71,0.10,35.34,-3.66,19.29,0.77,40.43,2,220,127,9
0.30,0.97,0.04,17.15,1.59,26.37,1.02,31.49,2,221,134,8
0.28,0.99,0.06,7.87,2.44,18.55,1.03,20.30,2,215,137,8
0.29,0.94,0.03,-1.71,4.09,14.04,0.98,14.72,2,210,138,9
0.29,1.02,0.01,-5.19,3.36,10.86,1.06,12.50,2,202,137,8
0.28,0.95,0.03,-0.67,1.04,6.77,0.99,6.89,2,198,140,8
0.28,1.00,0.02,-1.46,1.34,3.36,1.04,3.90,2,196,142,9
0.27,0.99,0.05,-1.65,0.98,-4.39,1.03,4.79,3,196,144,9
0.28,0.96,0.02,-8.06,2.38,-10.38,1.00,13.35,2,199,145,9
0.30,1.01,0.00,-4.64,1.04,-15.20,1.05,15.92,2,203,147,8
0.30,0.99,0.01,-1.10,-1.28,-20.94,1.03,21.00,2,207,146,9
0.31,1.07,0.02,-2.20,-1.53,-25.70,1.11,25.83,2,219,144,8
0.30,1.02,0.05,-2.56,-1.22,-39.25,1.06,39.35,1,241,144,9
0.33,1.06,0.05,-4.58,0.37,-41.81,1.11,42.06,1,281,141,9
0.36,0.99,0.02,-1.71,1.83,-46.08,1.06,46.15,1,318,136,8
0.37,0.92,0.04,0.67,1.53,-49.07,0.99,49.10,1,356,133,7
0.40,0.80,0.02,0.79,2.32,-39.12,0.89,39.20,1,408,124,8
0.41,0.66,0.04,3.85,2.01,-27.28,0.77,27.63,1,434,116,8
0.43,0.55,0.00,4.88,2.26,5.37,0.70,7.60,1,438,107,7
0.42,0.79,0.02,3.05,0.79,21.00,0.89,21.23,1,424,111,7
0.39,0.83,0.04,-1.10,0.73,26.25,0.92,26.28,1,391,112,6
0.36,0.81,0.07,-13.43,3.05,27.28,0.89,30.56,1,344,113,7
0.37,0.86,0.03,-30.76,9.70,28.50,0.94,43.05,1,281,113,8
0.39,1.20,-0.08,-35.52,11.78,27.40,1.26,46.39,2,246,118,8
0.38,1.10,-0.08,-16.78,4.58,10.19,1.17,20.16,2,230,122,7
0.35,1.02,-0.00,-14.22,2.20,-6.71,1.08,15.88,2,219,123,8
0.36,0.96,-0.03,-22.95,6.10,-14.53,1.03,27.84,2,215,126,7
0.38,0.92,-0.07,-26.37,9.03,-20.69,1.00,34.71,2,216,127,6
0.40,0.83,-0.11,-22.95,8.18,-20.26,0.93,31.69,2,215,120,7
0.40,0.72,-0.12,-15.69,6.10,-5.55,0.83,17.72,2,215,119,6
0.41,0.90,-0.14,-7.75,3.30,8.61,1.00,12.04,2,211,111,7
0.41,1.04,-0.15,4.33,-0.37,6.59,1.13,7.90,2,211,114,7
0.38,0.91,-0.06,10.19,-2.38,1.10,0.98,10.52,2,209,115,8
0.38,0.84,-0.06,5.80,1.22,2.69,0.92,6.51,2,212,119,7
0.38,0.78,-0.09,2.44,3.72,11.23,0.87,12.08,2,209,115,5
0.38,0.81,-0.13,3.17,3.23,21.24,0.91,21.72,2,206,105,6
0.37,0.87,-0.14,4.64,-1.22,22.64,0.95,23.15,3,204,97,7
0.33,0.93,-0.01,-20.94,1.59,30.46,0.99,36.99,3,196,77,6
0.34,1.12,-0.14,-21.61,8.42,20.87,1.17,31.20,3,192,67,5
0.33,0.98,-0.12,-16.85,5.00,4.27,1.04,18.09,3,190,59,4
0.32,0.92,-0.11,-22.58,7.14,0.55,0.98,23.69,3,189,52,3
0.33,1.02,-0.17,-24.48,9.03,-3.17,1.08,26.28,3,187,49,3
0.33,0.95,-0.17,-18.31,5.98,-6.90,1.02,20.46,3,187,48,3
0.34,0.90,-0.18,-11.47,4.70,-6.96,0.98,14.22,3,190,47,4
0.33,0.87,-0.17,-8.18,3.60,-2.08,0.95,9.17,3,188,48,3
0.34,0.90,-0.20,-3.91,3.66,3.97,0.98,6.66,3,186,43,3
0.34,0.94,-0.20,5.98,0.31,4.21,1.01,7.32,3,187,46,3
0.31,0.87,-0.14,5.37,0.43,6.77,0.93,8.66,3,187,45,2
0.33,0.93,-0.20,3.60,3.91,14.65,1.00,15.58,3,186,40,2
0.31,0.90,-0.19,8.54,0.67,16.24,0.97,18.36,3,185,34,3
0.29,0.84,-0.14,6.84,2.01,18.68,0.90,19.99,3,182,29,3
0.27,1.30,-0.28,3.60,5.62,26.79,1.35,27.61,3,179,28,2
0.27,0.96,-0.15,15.08,0.98,18.62,1.01,23.97,3,178,30,3
0.25,0.94,-0.13,8.48,3.17,13.43,0.98,16.20,3,176,27,4
0.23,0.90,-0.13,1.59,5.68,14.77,0.94,15.90,3,175,25,3
0.27,0.95,-0.19,3.05,2.93,6.71,1.00,7.94,3,175,26,2
0.25,0.95,-0.13,5.80,-0.61,2.08,0.99,6.19,4,173,27,3
0.25,0.95,-0.15,-1.46,2.01,-2.26,1.00,3.36,3,175,29,2
0.25,0.95,-0.18,-2.75,1.83,-8.18,1.00,8.82,3,176,29,1
0.28,0.91,-0.15,-2.62,0.67,-7.57,0.97,8.04,3,177,31,3
