-,-,-,-,-,-,-,-,-,-,-,-
0.43,1.00,-0.06,-8.91,4.94,-22.28,1.09,24.50,28,823,123,0
0.45,0.99,-0.05,-6.84,1.89,-31.49,1.09,32.28,25,823,125,0
0.44,1.19,-0.08,-11.11,-1.16,-43.15,1.27,44.57,22,819,116,0
0.49,1.27,-0.05,-15.01,-3.91,-92.22,1.36,93.52,19,818,109,0
0.52,1.29,-0.02,-41.87,-2.38,-130.55,1.40,137.12,14,818,93,0
0.54,1.17,0.10,-75.50,5.25,-162.29,1.29,179.07,10,816,60,0
0.54,1.02,0.04,-96.86,13.98,-178.10,1.16,203.22,6,819,27,0
0.73,0.64,-0.23,-109.86,22.71,-170.17,1.00,203.82,2,801,16,0
0.73,0.49,-0.33,-123.66,9.52,-144.71,0.94,190.59,1,772,7,0
0.73,0.36,-0.32,-123.35,-7.51,-102.48,0.87,160.54,1,762,4,3
0.77,0.29,-0.29,-100.22,-18.19,-56.88,0.87,116.66,1,731,0,4
0.28,0.04,-0.39,-58.90,-58.65,40.59,0.48,92.50,1,711,0,4
0.13,0.30,-0.40,-61.28,-152.71,159.73,0.52,229.32,1,674,0,2
-0.12,0.72,0.08,-73.79,-197.75,169.68,0.73,270.82,1,680,0,1
-0.36,0.86,0.47,-20.75,-163.82,168.76,1.04,236.11,1,674,0,1
-0.08,0.43,0.09,26.49,-87.77,165.89,0.45,189.54,1,680,0,2
0.11,0.68,0.02,-30.15,-68.73,170.23,0.69,186.04,1,666,0,3
0.45,1.02,0.08,-28.81,-67.87,167.24,1.12,182.77,1,657,0,3
0.64,1.00,0.03,-18.98,-80.38,148.25,1.19,169.71,1,649,0,1
0.72,0.94,0.08,-11.41,-100.52,151.55,1.19,182.22,1,642,0,2
1.15,1.06,0.20,-24.78,-119.93,124.33,1.57,174.52,1,638,0,1
1.26,1.02,0.29,-34.67,-100.95,67.75,1.65,126.42,1,641,0,3
1.21,1.02,0.26,-30.52,-80.51,36.13,1.61,93.37,1,656,0,3
1.24,0.96,0.22,-18.31,-82.89,10.13,1.58,85.49,1,678,0,2
0.61,0.84,0.39,-7.81,-46.39,-36.87,1.11,59.76,1,685,6,1
-0.03,0.59,0.22,8.91,-7.45,-22.64,0.63,25.45,2,697,7,0
0.01,0.84,0.27,-9.03,5.43,-11.60,0.89,15.67,3,711,17,0
0.52,0.97,0.05,-1.53,21.91,-13.00,1.10,25.52,5,722,30,0
0.38,0.99,-0.18,10.19,10.86,-0.61,1.08,14.91,8,729,46,0
0.38,0.98,-0.04,16.24,-2.08,-0.18,1.05,16.37,11,733,63,0
0.29,0.84,0.19,6.65,0.00,-3.66,0.91,7.59,15,745,75,0
0.32,0.88,0.13,-14.89,10.13,-0.67,0.94,18.02,20,748,85,0
0.36,1.01,-0.03,-20.57,12.27,-1.95,1.07,24.03,26,755,95,0
0.35,0.99,-0.02,-13.24,6.35,-3.85,1.05,15.18,33,758,100,0
0.37,0.91,-0.07,-3.23,2.56,-1.10,0.98,4.27,41,760,111,0
0.38,0.98,-0.07,4.64,-0.18,2.50,1.06,5.27,42,760,113,0
0.35,0.96,-0.03,15.69,-5.25,-1.34,1.03,16.60,46,762,120,0
0.35,0.94,0.00,18.07,-4.21,-3.42,1.01,18.86,45,761,117,0
0.33,0.98,0.04,15.75,-4.09,-5.92,1.04,17.31,45,767,123,0
0.34,1.01,0.04,11.66,-4.46,-15.93,1.07,20.24,38,777,118,0
0.33,0.98,0.09,5.37,-2.20,-24.11,1.04,24.80,30,794,124,0
0.39,0.94,0.00,-1.77,1.77,-33.02,1.01,33.11,24,809,120,0
0.40,0.83,0.03,-0.85,0.85,-33.51,0.92,33.53,19,820,119,0
0.41,0.84,0.02,-2.44,2.01,-32.10,0.93,32.26,16,827,120,0
0.43,0.85,-0.00,1.28,-0.55,-26.86,0.95,26.89,14,831,120,0
0.44,0.83,0.03,2.56,-1.40,-21.30,0.95,21.50,13,835,121,0
0.46,0.83,0.01,1.65,-0.31,-20.63,0.95,20.70,12,836,117,0
0.44,0.79,0.04,2.44,-0.24,-18.13,0.91,18.29,12,841,122,0
0.44,0.82,0.08,0.61,2.56,-15.50,0.93,15.73,12,838,119,0
0.47,0.91,0.01,-1.95,6.47,-15.20,1.02,16.63,11,842,116,0
0.48,0.84,0.02,-0.12,6.10,-16.17,0.96,17.29,11,846,120,0
0.52,1.06,-0.04,0.00,3.30,-18.62,1.18,18.91,10,845,118,0
0.53,1.19,-0.06,7.69,-1.83,-35.10,1.30,35.97,8,846,113,0
0.48,1.16,0.07,11.41,-2.44,-68.79,1.26,69.77,6,848,102,0
0.54,1.12,0.07,2.81,1.53,-91.37,1.25,91.43,4,850,87,0
0.68,1.23,-0.10,-5.68,0.37,-115.42,1.41,115.56,3,849,61,0
0.89,1.18,-0.39,-23.19,-13.73,-145.08,1.53,147.56,2,846,38,0
0.76,1.28,-0.27,-72.69,-40.89,-179.57,1.52,197.99,1,848,18,0
0.72,0.83,-0.12,-113.34,-57.07,-194.46,1.11,232.20,0,0,8,0
0.49,0.47,0.02,-131.10,-61.58,-161.93,0.68,217.26,0,0,4,1
0.33,0.53,0.25,-131.59,-59.14,-94.48,0.67,172.46,0,0,3,2
-0.31,0.01,0.29,-89.42,-57.92,-19.47,0.42,108.30,0,0,0,3
-0.32,0.47,0.22,-68.60,-26.73,119.32,0.61,140.21,0,0,0,1
-0.23,0.49,0.20,-71.23,-22.83,128.30,0.58,148.51,0,0,0,2
-0.28,0.64,0.29,-51.82,-33.81,164.31,0.75,175.57,0,0,0,2
-0.20,0.74,0.30,-31.74,-38.94,196.17,0.82,202.50,0,0,0,1
-0.09,0.90,0.36,-14.47,-35.46,198.43,0.97,202.09,0,0,0,1
0.32,1.16,0.32,4.58,-37.66,196.35,1.25,199.98,0,0,0,2
0.78,1.34,0.14,10.13,-43.46,159.73,1.56,165.84,1,690,0,0
1.03,1.41,0.30,31.13,-59.75,148.13,1.77,162.73,0,0,0,0
1.33,1.00,0.26,31.31,-85.57,129.58,1.69,158.41,1,729,0,2
1.20,0.94,0.29,2.75,-72.33,95.15,1.56,119.55,1,739,0,0
1.18,0.97,0.32,-6.65,-60.91,80.57,1.56,101.22,1,728,0,0
1.23,0.80,0.15,-12.27,-23.74,-8.06,1.47,27.91,1,704,0,0
1.11,0.69,0.02,-66.04,23.56,-60.91,1.31,92.88,1,689,4,0
0.42,0.45,-0.25,25.63,49.07,-18.19,0.66,58.28,2,682,14,0
0.11,1.36,-0.15,-24.35,13.85,-29.11,1.38,40.41,5,688,26,0
0.50,0.97,-0.15,8.24,6.41,-44.31,1.10,45.52,9,695,45,0
0.31,1.00,0.10,14.77,-1.22,-36.87,1.05,39.73,12,710,68,0
0.27,0.81,0.18,-1.53,5.80,-31.31,0.87,31.88,15,725,82,0
0.31,0.85,0.14,-20.63,14.40,-27.77,0.91,37.47,18,738,88,0
0.38,0.87,0.04,-31.01,19.96,-25.33,0.95,44.74,21,749,103,0
0.40,0.92,-0.11,-23.93,15.26,-19.41,1.01,34.38,24,763,111,0
0.43,0.82,-0.06,-2.69,0.61,-4.15,0.93,4.98,26,766,114,0
0.36,0.91,0.01,2.01,-0.24,1.04,0.98,2.28,32,765,119,0
0.39,0.90,-0.03,5.86,1.71,3.42,0.98,7.00,34,766,123,0
0.37,0.96,-0.00,7.39,-1.53,5.19,1.02,9.15,37,763,122,0
0.37,0.94,-0.01,14.04,-3.60,3.36,1.01,14.88,38,763,126,0
0.34,0.99,0.04,11.90,-2.62,-3.11,1.05,12.58,36,765,129,0
0.37,0.94,0.02,8.42,-1.65,-9.52,1.01,12.82,35,767,131,0
0.35,0.96,0.07,0.79,-0.73,-15.81,1.03,15.84,32,779,125,0
0.38,0.95,0.02,-5.37,1.22,-24.60,1.02,25.21,27,793,129,0
0.40,0.91,0.00,-6.10,2.75,-28.75,0.99,29.52,23,806,124,0
0.42,0.85,-0.01,-4.46,2.87,-29.36,0.95,29.83,20,818,129,0
0.43,0.81,-0.00,-3.30,2.32,-27.16,0.92,27.46,18,823,131,0
0.45,0.82,-0.02,-1.77,1.46,-21.18,0.93,21.30,17,824,129,0
0.45,0.88,-0.01,2.20,-1.59,-17.58,0.99,17.79,16,826,129,0
0.43,0.87,0.05,0.98,-0.24,-18.43,0.97,18.46,16,830,126,0
0.43,0.89,0.06,-3.85,3.36,-20.08,0.99,20.72,15,835,130,0
0.45,0.91,0.03,-6.16,8.48,-23.99,1.02,26.18,14,835,130,0
0.50,0.90,-0.06,-2.32,4.70,-29.48,1.04,29.94,13,843,129,0
0.48,0.97,0.04,-1.65,1.83,-34.97,1.09,35.06,11,845,123,0
0.51,1.14,-0.01,-3.23,5.13,-48.77,1.25,49.14,9,847,122,0
0.51,1.18,0.00,-0.79,3.97,-71.53,1.28,71.65,7,851,113,0
0.53,1.10,0.06,-2.32,7.02,-103.82,1.22,104.08,5,859,93,0
0.57,1.02,0.10,-12.08,13.31,-123.54,1.18,124.84,4,860,71,0
0.68,1.04,0.03,-30.82,18.19,-144.29,1.24,148.66,2,848,40,0
0.72,0.97,0.06,-56.27,22.58,-164.61,1.21,175.42,1,845,21,0
0.73,0.96,0.08,-76.29,32.53,-177.31,1.20,195.75,0,0,14,0
0.77,0.50,-0.01,-62.93,36.62,-157.17,0.91,173.21,0,0,8,1
0.66,0.21,-0.19,-59.20,29.72,-87.28,0.72,109.57,0,0,2,2
0.50,0.34,-0.13,-59.94,9.83,-19.47,0.62,63.78,0,0,0,1
-0.00,0.28,-0.28,-40.59,-34.73,57.98,0.39,78.84,1,730,0,1
-0.13,0.91,0.13,-24.41,-120.48,159.48,0.93,201.36,0,0,0,0
-0.28,0.70,0.23,33.33,-119.75,161.38,0.79,203.70,1,703,0,2
-0.27,0.51,0.07,66.89,-95.21,193.79,0.58,226.04,0,0,0,2
-0.18,0.54,-0.01,41.26,-65.00,200.20,0.57,214.49,0,0,0,3
-0.01,0.99,0.03,25.45,-25.76,215.94,0.99,218.96,0,0,0,3
0.41,1.16,-0.12,20.69,-5.13,200.13,1.24,201.27,0,0,0,2
0.67,1.13,-0.19,4.58,-0.79,149.23,1.33,149.30,1,706,0,1
0.69,1.26,0.06,-21.00,-5.49,130.37,1.44,132.17,1,717,0,1
1.03,1.35,0.23,-4.21,35.34,102.97,1.71,108.94,1,730,0,2
2.11,1.04,-0.08,6.90,60.91,56.64,2.35,83.46,1,724,0,0
2.51,0.72,-0.19,5.00,39.25,10.44,2.62,40.92,1,727,4,1
2.41,0.63,-0.25,-11.84,0.55,-24.90,2.50,27.58,1,705,9,1
0.50,0.78,-0.09,-29.36,-17.40,-7.75,0.93,34.99,3,722,17,0
-0.16,1.34,0.27,-25.94,-1.28,-24.23,1.37,35.52,5,741,31,0
0.61,1.01,0.01,-16.66,12.94,-27.34,1.18,34.54,11,735,54,0
0.51,1.02,-0.31,8.97,11.54,-7.39,1.18,16.37,16,749,68,0
0.32,1.14,-0.06,20.51,-11.54,-15.81,1.19,28.35,21,755,85,0
0.29,0.84,0.17,15.93,-5.37,-20.32,0.90,26.38,21,758,94,0
0.35,0.89,0.05,-2.50,8.06,-17.58,0.96,19.50,23,761,99,0
0.34,0.86,0.06,-10.86,7.20,-16.42,0.92,20.96,25,768,104,0
0.35,0.84,0.04,-17.21,10.31,-12.88,0.91,23.84,28,778,106,0
0.42,0.88,-0.16,-8.97,8.00,-5.62,0.99,13.27,30,781,111,0
0.37,0.88,-0.05,4.58,0.18,-1.04,0.95,4.70,36,780,110,0
0.40,0.91,-0.07,13.67,0.61,3.97,0.99,14.25,36,779,118,0
0.37,0.93,-0.02,20.81,-4.39,4.82,1.00,21.81,37,777,119,0
0.36,0.93,0.05,19.04,-4.03,4.88,1.00,20.07,36,775,116,0
0.35,0.92,0.04,14.28,-1.95,1.46,0.99,14.49,37,773,122,0
0.33,1.00,0.07,5.13,1.28,-5.00,1.06,7.28,35,772,120,0
0.35,0.98,0.04,2.75,1.53,-13.43,1.04,13.79,34,783,119,0
0.36,0.90,0.05,-1.53,1.53,-18.92,0.97,19.04,29,797,123,0
0.38,0.94,0.00,-3.17,3.54,-22.09,1.01,22.60,26,808,119,0
0.39,0.90,0.01,0.79,0.55,-23.38,0.98,23.40,21,820,122,0
0.40,0.81,0.03,1.22,0.43,-22.03,0.91,22.07,18,821,124,0
0.41,0.90,0.02,-0.49,1.89,-16.85,0.99,16.96,17,823,123,0
0.43,0.91,0.00,3.11,1.40,-18.92,1.01,19.23,15,825,118,0
0.42,0.84,0.04,3.66,0.85,-20.14,0.94,20.49,15,822,120,0
0.42,0.87,0.07,0.06,3.66,-19.59,0.96,19.93,13,827,122,0
0.45,0.85,0.04,-2.44,7.26,-19.65,0.96,21.09,12,828,116,0
0.51,1.00,-0.11,0.92,5.92,-21.55,1.13,22.36,10,837,114,0
0.47,1.18,0.00,5.68,-1.77,-37.60,1.27,38.06,9,838,117,0
0.46,1.18,0.08,5.00,-1.65,-62.26,1.26,62.48,7,835,109,0
0.49,1.10,0.10,-0.79,2.75,-85.63,1.20,85.68,5,842,97,0
0.42,0.92,0.26,-11.05,12.88,-117.80,1.04,119.01,4,852,80,0
0.54,0.74,0.19,-23.56,29.11,-124.63,0.94,130.14,4,853,57,0
0.71,0.88,-0.02,-29.79,34.61,-123.29,1.13,131.47,3,851,39,0
0.81,0.80,-0.24,-24.84,24.66,-124.88,1.16,129.69,2,843,23,0
0.83,0.83,-0.08,-37.54,16.24,-128.36,1.17,134.71,1,839,16,0
0.84,0.76,-0.02,-36.80,14.28,-123.17,1.14,129.34,1,840,10,0
0.80,0.37,-0.20,-43.40,9.40,-97.17,0.90,106.83,0,0,5,0
0.61,0.51,-0.23,-64.51,-9.34,-36.07,0.82,74.50,0,0,2,2
0.32,0.53,-0.13,-65.61,-49.80,4.82,0.63,82.52,0,0,0,3
-0.17,0.80,0.00,-40.22,-113.22,117.49,0.82,168.05,0,0,0,0
-0.30,0.85,0.24,-7.20,-125.12,122.38,0.93,175.17,0,0,0,0
-0.46,0.60,0.20,28.08,-97.05,134.09,0.78,167.89,0,0,0,2
-0.38,0.58,0.02,27.53,-57.92,175.48,0.69,186.83,0,0,0,3
-0.15,0.82,0.02,-9.03,-15.81,176.33,0.83,177.27,0,0,0,3
-0.00,1.06,0.08,-7.87,9.22,180.79,1.06,181.19,1,722,0,2
0.15,1.17,0.03,-1.59,21.85,187.87,1.18,189.14,1,710,0,2
0.49,1.27,0.04,-2.32,15.56,185.79,1.36,186.46,1,697,0,2
0.99,1.40,0.08,-0.06,29.05,146.48,1.71,149.34,1,689,0,1
1.41,1.14,-0.12,-11.96,61.58,75.13,1.82,97.88,1,678,0,0
1.65,0.80,-0.21,-38.27,59.81,29.91,1.84,77.05,0,0,0,3
2.05,0.94,-0.20,-43.03,42.66,15.75,2.27,62.61,1,678,0,0
2.88,1.39,0.14,18.86,-3.66,-66.04,3.20,68.78,1,670,4,1
0.44,0.76,-0.03,74.22,9.28,-3.05,0.88,74.86,2,696,13,0
-0.16,1.23,0.23,-1.34,-24.78,-3.36,1.27,25.04,4,719,27,0
0.53,1.11,-0.10,13.06,6.84,-37.41,1.23,40.21,8,717,46,0
0.32,1.05,-0.00,23.25,-0.61,-34.79,1.10,41.85,10,726,60,0
0.23,0.69,0.21,13.37,-3.17,-28.20,0.75,31.37,11,733,71,0
0.32,0.62,0.21,-12.82,11.84,-16.36,0.73,23.92,13,745,86,0
0.41,0.91,-0.06,-29.91,23.13,1.22,1.00,37.83,18,751,91,0
0.37,1.07,-0.10,-17.33,3.60,0.61,1.14,17.71,25,757,103,0
0.36,0.85,-0.01,-3.30,0.92,-0.24,0.92,3.43,30,757,105,0
0.31,0.82,0.04,-6.84,2.32,6.90,0.88,9.98,34,758,108,0
0.34,0.97,-0.05,-4.64,5.13,14.16,1.03,15.76,40,755,110,0
0.34,0.97,-0.07,6.53,0.85,11.90,1.03,13.60,43,751,118,0
0.33,0.92,-0.01,16.97,-2.01,12.08,0.98,20.93,48,745,115,0
0.31,0.99,0.02,15.75,-4.27,7.87,1.04,18.12,50,742,121,0
0.27,1.01,0.09,9.58,-2.87,-2.01,1.05,10.20,55,739,122,0
0.29,1.02,0.06,-0.55,2.62,-13.06,1.06,13.33,52,749,124,0
0.34,0.95,0.03,-7.69,6.53,-24.05,1.01,26.08,47,762,126,0
0.34,0.94,0.00,-8.67,6.65,-26.67,1.00,28.82,40,774,126,0
0.37,0.87,-0.04,-4.52,4.15,-25.63,0.94,26.36,35,788,122,0
0.36,0.84,-0.00,-1.65,0.92,-21.85,0.92,21.93,30,798,125,0
0.38,0.90,-0.01,0.79,0.37,-18.49,0.98,18.51,27,805,126,0
0.38,0.90,0.01,1.16,0.12,-17.94,0.97,17.98,25,811,125,0
0.38,0.91,0.02,-1.10,2.32,-18.62,0.98,18.79,23,819,127,0
0.40,0.87,0.00,-0.73,3.72,-19.78,0.96,20.14,20,819,126,0
0.40,0.90,0.03,-3.05,6.65,-21.18,0.98,22.41,20,824,126,0
0.43,0.88,-0.01,-3.85,8.18,-22.58,0.98,24.32,19,827,122,0
0.45,0.97,-0.06,-2.20,6.96,-21.55,1.07,22.75,17,829,119,0
0.47,1.11,-0.07,5.62,0.61,-29.17,1.21,29.72,14,831,118,0
0.44,1.16,-0.01,10.62,-2.69,-47.61,1.24,48.85,11,835,119,0
0.41,1.12,0.11,1.83,-0.61,-82.34,1.19,82.36,8,836,114,0
0.46,1.08,0.15,-12.02,8.12,-106.51,1.18,107.49,7,838,95,0
0.57,1.12,0.08,-26.18,16.91,-127.32,1.26,131.08,5,838,76,0
0.64,1.15,0.00,-45.29,17.82,-150.76,1.31,158.42,4,827,51,0
0.63,1.16,0.10,-68.12,25.51,-179.99,1.32,194.13,2,813,23,0
0.77,0.98,0.08,-75.26,34.73,-180.85,1.25,198.94,1,814,11,0
0.60,0.49,-0.10,-57.19,31.62,-143.19,0.79,157.40,1,773,4,2
0.53,0.53,-0.16,-42.91,13.61,-59.08,0.77,74.28,1,751,0,0
0.19,0.23,-0.38,-21.30,-71.53,53.71,0.49,91.95,0,0,0,0
-0.33,0.69,0.17,-5.43,-140.93,95.64,0.78,170.41,1,759,0,0
-0.49,0.51,0.16,25.82,-134.34,129.46,0.72,188.34,0,0,0,0
-0.43,0.58,0.11,37.60,-98.02,169.37,0.73,199.27,0,0,0,0
-0.28,0.59,-0.01,28.81,-44.07,185.67,0.65,192.99,0,0,0,0
-0.01,0.92,-0.09,13.85,-14.04,193.48,0.93,194.48,0,0,0,0
0.14,1.06,-0.11,3.91,1.34,195.01,1.08,195.05,1,758,0,0
0.44,1.24,-0.11,-1.28,7.75,186.40,1.32,186.57,1,743,0,0
0.56,1.34,-0.04,-12.63,9.89,163.33,1.46,164.12,1,734,0,0
1.13,1.25,-0.07,-2.44,29.97,137.39,1.68,140.64,1,726,0,0
1.43,0.95,-0.16,-26.06,54.38,80.69,1.72,100.73,1,713,0,1
1.99,1.18,-0.08,-64.51,67.81,9.95,2.32,94.12,1,703,0,0
2.46,1.13,0.26,33.81,36.74,-22.64,2.72,54.83,1,668,5,0
0.75,0.11,-0.08,53.71,-13.92,-30.46,0.77,63.29,3,700,19,0
-0.30,1.05,0.46,6.29,-29.48,-21.48,1.19,37.02,6,726,36,0
0.47,0.85,0.13,-8.85,0.43,-37.84,0.98,38.87,11,723,57,0
0.37,1.13,-0.15,-0.18,9.52,-20.94,1.20,23.00,16,739,72,0
0.33,0.79,0.06,22.16,-10.80,-22.58,0.86,33.43,19,746,87,0
0.26,0.82,0.23,9.09,1.28,-10.13,0.89,13.67,25,743,93,0
0.36,0.91,-0.01,-0.73,4.94,-6.29,0.98,8.03,27,746,103,0
0.36,0.90,-0.00,5.13,3.23,-2.26,0.97,6.47,30,746,110,0
0.30,0.84,0.12,0.55,2.99,1.89,0.90,3.58,34,747,115,0
0.32,0.88,0.04,-2.99,2.08,5.98,0.94,7.00,38,746,119,0
0.30,0.94,0.03,-3.05,2.99,9.34,0.99,10.27,43,741,115,0
0.30,0.97,0.04,1.34,1.77,7.39,1.01,7.71,50,737,118,0
0.31,0.99,0.05,3.17,2.08,3.54,1.04,5.19,54,732,124,0
0.28,0.97,0.07,6.41,-0.43,0.37,1.01,6.43,55,730,125,0
0.29,0.98,0.07,5.98,1.34,-3.91,1.03,7.27,58,734,127,0
0.30,1.02,0.07,0.73,1.83,-10.86,1.06,11.04,58,745,121,0
0.29,0.98,0.08,-0.67,2.20,-19.47,1.03,19.61,44,756,127,0
0.32,0.91,0.06,-2.81,4.82,-24.54,0.96,25.16,41,765,122,0
0.34,0.87,0.04,-3.78,5.00,-23.62,0.94,24.44,36,774,122,0
0.35,0.88,0.04,-4.15,5.13,-18.92,0.95,20.04,30,786,130,0
0.38,0.89,-0.00,-1.77,3.85,-17.46,0.97,17.96,28,789,127,0
0.35,0.89,0.08,-3.54,2.99,-14.83,0.96,15.54,26,800,126,0
0.37,0.92,0.05,-5.43,4.76,-14.16,0.99,15.90,25,804,131,0
0.39,0.97,-0.01,-2.75,3.72,-15.50,1.05,16.18,24,808,131,0
0.38,0.93,0.05,0.85,1.40,-21.73,1.01,21.79,22,814,130,0
0.39,0.93,0.08,-3.97,5.74,-26.67,1.01,27.57,19,820,131,0
0.42,1.11,-0.02,-7.02,7.39,-34.00,1.18,35.49,17,825,131,0
0.40,1.08,0.08,-7.20,4.70,-51.45,1.16,52.17,14,827,130,0
0.45,1.11,0.04,-13.24,9.16,-71.59,1.20,73.38,12,835,123,0
0.48,1.16,0.06,-19.53,6.29,-100.59,1.26,102.66,9,844,111,0
0.58,1.07,0.04,-38.88,6.04,-124.69,1.22,130.76,8,832,85,0
0.52,1.28,0.25,-79.04,13.18,-148.25,1.41,168.52,5,814,38,0
0.63,1.02,0.08,-97.29,33.26,-161.93,1.20,191.81,2,789,16,0












































































































































'w'













0.74,0.38,-0.41,-130.86,32.35,-142.58,0.93,196.21,1,725,4,0
0.39,1.24,-0.06,-145.20,-30.40,-9.40,1.30,148.65,1,682,1,2
-0.39,0.60,-0.12,-51.76,-60.06,42.66,0.73,90.03,1,661,0,0
-0.46,0.89,0.08,2.32,-148.13,122.99,1.01,192.55,1,679,0,0
-0.77,0.52,0.19,63.48,-177.49,126.04,0.95,226.75,1,687,0,1
-0.75,0.47,0.11,44.56,-130.25,176.88,0.89,224.14,1,701,0,1
-0.43,0.76,0.07,14.71,-78.74,200.62,0.88,216.02,1,711,0,3
-0.06,1.06,0.02,-8.18,-51.45,214.84,1.06,221.07,1,715,0,3
0.36,1.47,0.12,-8.00,-63.23,224.12,1.51,233.01,1,718,0,1
0.45,1.51,0.27,0.00,-102.11,184.45,1.60,210.83,1,724,0,1
0.72,1.59,0.43,-13.61,-90.45,143.68,1.80,170.32,1,741,0,1
0.86,1.35,0.52,-6.90,-79.65,94.48,1.68,123.77,1,750,0,2
0.88,1.28,0.54,-2.08,-59.75,80.20,1.64,100.03,1,756,0,2
1.04,0.99,0.47,27.71,-48.16,65.55,1.51,85.93,1,765,0,2
1.23,0.76,0.40,3.17,-30.58,33.87,1.50,45.75,1,767,0,2
1.30,0.79,0.40,-26.55,-2.44,-9.52,1.57,28.31,1,753,0,4
1.34,0.77,-0.03,-45.41,16.60,-67.08,1.54,82.69,1,661,0,12
-0.40,1.28,0.01,-40.95,-13.18,-51.33,1.34,66.98,2,498,0,28
0.15,1.18,-0.03,12.70,3.66,-42.54,1.19,44.55,6,440,0,56
0.08,0.96,0.13,23.74,2.50,-26.25,0.97,35.48,13,437,6,78
0.12,1.00,0.11,9.83,3.78,-16.48,1.02,19.56,24,429,13,89
0.07,0.91,0.09,2.99,4.21,-11.05,0.92,12.20,35,437,18,98
0.13,0.94,0.07,-11.05,4.52,-5.49,0.96,13.14,66,428,22,103
0.13,0.95,0.05,-16.36,-2.26,-2.44,0.96,16.69,88,422,24,106
0.08,1.01,0.02,-12.76,1.22,-3.23,1.01,13.22,105,421,27,108
0.10,1.00,0.00,-3.91,-0.79,-5.80,1.01,7.04,141,425,27,112
0.10,0.99,0.01,7.81,2.75,-2.93,1.00,8.78,168,429,33,113
0.09,0.97,0.06,13.06,1.53,-3.11,0.98,13.51,146,431,39,118
0.09,0.97,0.06,9.28,1.77,-4.82,0.98,10.60,177,437,43,118
0.11,0.97,0.06,6.90,2.69,-5.07,0.97,8.97,233,441,51,116
0.10,0.97,0.06,5.07,2.14,-4.70,0.98,7.23,282,450,51,111
0.11,0.96,0.06,4.76,1.83,-5.07,0.97,7.19,260,455,58,109
0.11,0.96,0.06,3.54,1.10,-4.76,0.97,6.03,268,461,57,102
0.11,0.96,0.06,3.97,0.79,-4.76,0.97,6.25,197,471,63,98
0.11,0.96,0.06,3.97,0.43,-4.76,0.97,6.21,200,480,67,94
0.12,0.95,0.07,4.52,0.31,-4.58,0.96,6.44,337,484,67,89
0.12,0.97,0.07,3.36,0.31,-4.39,0.98,5.54,175,489,69,86
0.12,0.98,0.06,5.19,0.67,-7.08,0.99,8.80,317,495,72,77
0.13,0.94,0.08,5.74,0.31,-7.20,0.96,9.21,227,503,77,67
0.13,0.97,0.07,2.08,0.12,-5.31,0.98,5.70,244,508,82,61
0.13,0.97,0.08,3.60,0.12,-8.06,0.98,8.83,187,520,83,56
0.14,0.96,0.09,2.50,0.55,-10.07,0.97,10.39,225,530,83,45
0.15,0.96,0.08,1.22,1.16,-10.74,0.98,10.87,229,547,87,33
0.15,1.00,0.07,2.32,0.55,-11.23,1.01,11.48,258,564,89,25
0.14,1.01,0.08,5.37,0.37,-16.11,1.02,16.99,244,591,94,19
0.16,1.01,0.09,4.39,1.40,-21.67,1.03,22.15,177,626,95,11
0.15,1.06,0.14,-6.35,3.05,-29.85,1.08,30.67,140,660,98,5
0.16,1.34,0.11,-33.63,8.67,-71.41,1.35,79.41,84,709,92,2
0.17,1.50,0.12,-48.71,11.17,-118.65,1.52,128.75,34,753,84,0
0.16,1.41,0.21,-68.66,15.62,-159.55,1.43,174.40,18,772,59,0
0.30,1.22,0.10,-87.89,25.21,-185.12,1.26,206.47,10,762,32,0
0.37,1.17,0.05,-123.66,28.38,-189.94,1.23,228.42,5,741,14,0
0.41,0.67,-0.36,-135.07,13.06,-157.35,0.87,207.78,2,692,5,0
0.21,0.99,-0.15,-136.23,-20.57,-99.98,1.03,170.23,2,656,2,0
0.06,0.81,-0.02,-48.95,-41.26,-54.99,0.81,84.40,1,636,0,0
-0.10,0.43,-0.24,8.36,-69.03,49.74,0.50,85.50,1,633,0,2
-0.29,0.60,0.05,10.80,-137.57,70.80,0.67,155.10,1,627,0,2
-0.47,0.53,0.16,30.33,-130.86,104.86,0.72,170.41,1,635,0,2
-0.36,0.49,0.08,38.02,-92.35,132.81,0.61,166.17,1,636,0,3
-0.23,0.63,0.07,15.50,-61.04,144.23,0.67,157.37,1,645,0,3
-0.04,0.98,0.11,22.40,-29.17,171.33,0.99,175.23,1,650,0,2
0.30,1.24,-0.01,22.34,-21.36,195.07,1.27,197.50,1,652,0,2
0.56,1.33,-0.07,16.54,-34.18,184.51,1.44,188.38,1,653,0,2
0.45,1.28,0.03,3.85,-55.11,161.87,1.36,171.03,1,656,0,1
0.44,1.44,0.31,-3.66,-48.71,120.73,1.54,130.23,1,668,0,2
0.51,1.34,0.28,23.99,-18.25,92.35,1.46,97.14,1,693,0,3
0.68,1.20,0.18,35.40,-13.79,74.52,1.39,83.65,1,712,0,3
1.06,1.00,0.07,18.37,0.92,34.00,1.45,38.65,1,711,0,5
